id,distillery,address,city,location,postal_code,state_abbrev,address_line2,phone_number,sizes,website
2F12141112000001,Bendt Distilling Co.,225 S Charles St,Lewisville,Texas,"75057",TX,,,,
2F12141112000002,Divine Distillers,2195 Hyacinth St. NE,Salem,Oregon,"97301",OR,#148,,,
2F12141112000003,Koval Distillery,5121 N Ravenswood Ave,Chicago,Illinois,"60640",IL,,,,
2F12141112000004,Dry Fly Distilling Inc.,"1003 E Trent, #200",Spokane,Washington,"99202",WA,,,,
2F12141112000005,Twin Valley Distillers,"711 E Gude Dr, Bay D",Rockville,Maryland,"20850",MD,,,,
2F12141112000006,Eight Oaks Farm Distillery,7189 PA-309,New Tripoli,Pennsylvania,"18066",PA,,,,
2F12141112000007,Claremont Distilled Spirits,25 Commerce Rd,Fairfield,New Jersey,"7004",NJ,unit K,,,
2F12141112000008,Shine Distillery & Grill,4232 North Williams Ave,Portland,Oregon,"97217",OR,,,,
2F12141112000009,Hotel Tango Whiskey,1101 E 16th St,Indianapolis,Indiana,"46202",IN,,,,
2F1214111200000A,Switchgrass Spirits,6100 Idadale Ave,St. Louis,Missouri,"63133",MO,,,,
2F1214111200000B,Karrikin Spirits,3717 Jonlen Drive,Fairfax,Ohio,"45227",OH,,,,
2F1214111200000C,Fox Trail Distillery,2121 S. Bellview RD,Rogers,Arkansas,"72758",AR,,,,
2F1214111200000D,CH Distillery,564 W Randolph St,Chicago,Illinois,"60661",IL,,,,
2F1214111200000E,Smugglers' Notch Distillery,276 Main St Rt 108S,Jeffersonville,Vermont,"5464",VT,,,,
2F1214111200000F,Old Glory Distilling,451 Alfred Thun Rd,Clarksville,Tennessee,"37040",TN,,,,
2F12141112000010,Outer Banks Distilling,510 Budleigh St,Manteo,North Carolina,"27954",NC,,,,
2F12141112000011,18th Street Distillery,"5417 Oakley Avenue, Suite #1",Hammond,Indiana,"46320",IN,,,,
2F12141112000012,Berkshire Mountain Distillers,356 S Main St,Sheffield,Massachusetts,"1257",MA,,,,
2F12141112000013,Broad Branch Distillery,756 N Trade St,Winston Salem,North Carolina,"27101",NC,,,,
